timestamp,route,stop_id,passenger_count,boardings,alightings,weather,is_holiday,hour,day_of_week,capacity,is_peak,overloaded
2025-01-01 00:00:00,R2,S7,30,2,2,Clear,0,0,Wednesday,50,0,0
2025-01-01 01:00:00,R4,S3,26,2,7,Rainy,0,1,Wednesday,40,0,0
2025-01-01 02:00:00,R3,S14,32,6,3,Clear,0,2,Wednesday,45,0,0
2025-01-01 03:00:00,R2,S10,20,1,4,Clear,0,3,Wednesday,50,0,0
2025-01-01 04:00:00,R1,S16,25,4,4,Clear,0,4,Wednesday,55,0,0
2025-01-01 05:00:00,R1,S16,31,6,4,Clear,0,5,Wednesday,55,0,0
2025-01-01 06:00:00,R1,S10,31,4,4,Rainy,0,6,Wednesday,55,0,0
2025-01-01 07:00:00,R4,S13,38,7,4,Cloudy,0,7,Wednesday,40,1,0
2025-01-01 08:00:00,R2,S6,44,9,1,Clear,0,8,Wednesday,50,1,0
2025-01-01 09:00:00,R3,S12,39,10,7,Rainy,0,9,Wednesday,45,1,0
2025-01-01 10:00:00,R1,S9,32,7,4,Clear,0,10,Wednesday,55,0,0
2025-01-01 11:00:00,R4,S13,27,6,1,Clear,0,11,Wednesday,40,0,0
2025-01-01 12:00:00,R3,S4,27,5,6,Clear,0,12,Wednesday,45,0,0
2025-01-01 13:00:00,R1,S11,20,4,5,Rainy,0,13,Wednesday,55,0,0
2025-01-01 14:00:00,R1,S20,25,2,3,Cloudy,0,14,Wednesday,55,0,0
2025-01-01 15:00:00,R1,S18,18,3,8,Rainy,0,15,Wednesday,55,0,0
2025-01-01 16:00:00,R1,S11,32,4,6,Clear,0,16,Wednesday,55,0,0
2025-01-01 17:00:00,R2,S4,43,10,4,Rainy,0,17,Wednesday,50,1,0
2025-01-01 18:00:00,R2,S18,40,2,3,Rainy,0,18,Wednesday,50,1,0
2025-01-01 19:00:00,R1,S1,33,1,3,Clear,0,19,Wednesday,55,1,0
2025-01-01 20:00:00,R2,S7,21,4,5,Cloudy,0,20,Wednesday,50,0,0
2025-01-01 21:00:00,R1,S6,28,9,3,Clear,0,21,Wednesday,55,0,0
2025-01-01 22:00:00,R1,S15,30,6,4,Rainy,0,22,Wednesday,55,0,0
2025-01-01 23:00:00,R2,S18,33,10,4,Clear,0,23,Wednesday,50,0,0
2025-01-02 00:00:00,R2,S11,26,6,4,Rainy,0,0,Thursday,50,0,0
2025-01-02 01:00:00,R3,S20,31,4,4,Rainy,0,1,Thursday,45,0,0
2025-01-02 02:00:00,R1,S15,27,4,0,Clear,0,2,Thursday,55,0,0
2025-01-02 03:00:00,R2,S16,24,9,7,Cloudy,0,3,Thursday,50,0,0
2025-01-02 04:00:00,R2,S7,31,5,2,Clear,0,4,Thursday,50,0,0
2025-01-02 05:00:00,R1,S10,23,4,4,Clear,0,5,Thursday,55,0,0
2025-01-02 06:00:00,R2,S12,31,2,1,Cloudy,0,6,Thursday,50,0,0
2025-01-02 07:00:00,R1,S14,32,5,4,Clear,0,7,Thursday,55,1,0
2025-01-02 08:00:00,R1,S5,43,4,5,Clear,0,8,Thursday,55,1,0
2025-01-02 09:00:00,R4,S18,43,5,2,Rainy,0,9,Thursday,40,1,1
2025-01-02 10:00:00,R4,S5,22,2,4,Rainy,0,10,Thursday,40,0,0
2025-01-02 11:00:00,R3,S3,30,6,4,Cloudy,0,11,Thursday,45,0,0
2025-01-02 12:00:00,R1,S5,27,5,3,Rainy,0,12,Thursday,55,0,0
2025-01-02 13:00:00,R1,S17,36,4,4,Rainy,0,13,Thursday,55,0,0
2025-01-02 14:00:00,R3,S19,35,4,2,Cloudy,0,14,Thursday,45,0,0
2025-01-02 15:00:00,R2,S19,18,2,5,Clear,0,15,Thursday,50,0,0
2025-01-02 16:00:00,R1,S12,22,4,4,Clear,0,16,Thursday,55,0,0
2025-01-02 17:00:00,R2,S9,46,6,4,Rainy,0,17,Thursday,50,1,0
2025-01-02 18:00:00,R1,S1,37,5,1,Clear,0,18,Thursday,55,1,0
2025-01-02 19:00:00,R4,S18,31,7,4,Clear,0,19,Thursday,40,1,0
2025-01-02 20:00:00,R1,S4,35,1,3,Rainy,0,20,Thursday,55,0,0
